"Vendor.ID","Achats_2019","Costs_2020","Commandes_2019","Commandes_2020","delivery_2019","delivery_2020","Credit_2019","Credit_2020","Buyers.Manual.scorring"
19305,NA,0,NA,2,NA,19,NA,-765,NA
19314,7648.68,10466.43,26,26,33,102,-496,-148,"B"
19348,28168.19,10127.3,27,12,144,66,-9628,-1235,"B"
19352,7179,NA,12,NA,72,NA,0,NA,NA
19357,16943.48,16320.63,24,31,19,17,NA,-34,"A"
19366,359014.95,353549.91,30,33,25,5,-1981942489,NA,"A"
19367,720.7,589.71,5,3,4,7,-768,NA,"A"
19378,8316,14581.5,9,12,1,2,NA,-128,"A"
19385,23525.01,846.8,4,5,22,3,-17039,-326,"A"
19394,21168.9,9493.44,11,4,120,2,-5408,NA,"B"
19398,128616.49,155797.85,40,28,32,29,-57,NA,"B"
19407,47052.75,39520.85,38,31,42,30,-587,-157,"B"
19417,120443.49,78427.42,346,241,93,149,-4570,-125,NA
19502,37851.88,44413.22,30,27,57,46,-2250,NA,NA
19519,5630.18,109.99,42,3,119,89,-107,-324,NA
19555,23717.28,11584.57,19,8,44,2,-1760,NA,NA
19596,247,503.96,6,7,7,44,-39,NA,NA
19640,27387.18,129263.8,13,27,44,7,-5110,NA,NA
19644,18601.17,32569.11,8,8,1,0,-1036,NA,NA
19649,2146.75,1541.33,13,8,9,4,NA,-119,NA
19675,5200,93176,3,8,41,21,NA,-148000,NA
19686,-3653.33,NA,11,NA,58,NA,-8135,NA,NA
19699,40909.57,39875.57,83,39,67,4,-2384,NA,NA
19721,698.99,536.75,3,3,29,70,NA,-176,NA
19730,123832.96,73203.25,8,3,1,15,-4391,NA,NA
19768,1750,85,3,1,23,2,-175,NA,NA
19769,15675.07,24347.2,15,9,32,0,-4330,NA,"B"
19771,0,0,2,1,28,-5,-850,-475,NA
19779,7197.66,12544.9,45,47,4,31,NA,-132,NA
19792,5337.84,2241.07,33,18,130,9,NA,-27,NA
19823,70143.08,33178.7,89,54,183,189,-842,-170,NA
19833,98846.46,94401.91,22,19,35,38,-6096,NA,NA
19839,6672.44,11065.17,43,35,40,150,-831,NA,NA
19866,7349.44,3915,16,7,64,0,-67,NA,NA
19926,22318.71,102807.26,22,38,36,20,-156,NA,NA
19934,9654.44,3072.37,10,5,15,2,-801,NA,NA
19969,23611.65,19739.17,25,14,155,23,NA,-174,NA
19984,589479.05,819749.18,46,51,38,15,-8774,-119213,NA
19985,555066.26,311801.22,109,97,58,34,-31383,-4860,NA
20003,1246.4,125.52,3,2,4,35,NA,-48,NA
20016,9167.9,1975.93,40,9,28,3,-221,NA,NA
20018,17872.02,15164.61,19,13,32,25,-1710,-294,NA
20019,142769.02,125897.8,283,335,115,159,-8,-1,NA
20068,-64233.03,NA,1,NA,96,NA,-64233,NA,NA
20090,-2782.72,NA,1,NA,77,NA,-2783,NA,NA
20096,68633.48,27751.92,36,19,80,25,-6089,NA,NA
20103,58221.4,53441.9,8,15,3,56,NA,-7889,NA
20108,3118.68,56970.3,4,10,55,1,-487,NA,NA
20114,2595,NA,6,NA,40,NA,-776,NA,NA
20163,334848.35,321630.03,82,82,90,84,-33522,-3550,NA
20174,4109.25,NA,5,NA,19,NA,-212,NA,NA
20191,-2531.95,11262.75,3,14,291,55,-18095,NA,NA
20238,178815.28,180688.18,276,340,58,115,-1311,-832,NA
20248,21536.85,19074.56,14,14,0,0,NA,-4625,NA
20252,1195.8,32598.58,7,34,27,3,NA,-124,NA
20275,984805.51,670076.02,228,221,153,57,-70037,-8284,NA
20293,374510.27,66395.13,31,20,13,38,-40764,NA,NA
20294,2143.57,745.98,3,2,20,31,NA,-746,NA
20297,114632.62,222981.42,19,28,11,56,NA,-12051,NA
20303,227564.68,396674.4,41,45,48,72,-2838,-12482,NA
20332,252266.32,198437.16,97,90,58,67,-6767,-1496,NA
20395,21813.09,14936.57,42,65,109,70,0,-263,NA
20396,17993.73,4955.34,8,2,81,27,-13272,NA,NA
20399,NA,0,NA,1,NA,2,NA,-1839,NA
20433,586278.73,189848.32,11,4,28,0,-2727,NA,NA
20725,136314.47,114323.34,120,81,41,74,-672,NA,NA
20727,NA,70.5,NA,4,NA,26,NA,-5000,NA
20731,85157.65,120650.6,60,87,26,32,-37,NA,NA
20970,NA,822.94,NA,5,NA,58,NA,-448,NA
20972,1742.81,4298.26,3,6,1,92,-219,-469,NA
20979,59026.83,30546.87,23,18,5,10,-533,NA,NA
20993,475,NA,2,NA,44,NA,-570,NA,NA
20995,96039.76,80040.96,110,77,114,16,-1369,NA,NA
21001,63620,28448,43,26,58,15,-1440,NA,NA
21040,8167.75,11299.9,25,31,11,25,-215,NA,NA
21046,52886,2241,28,3,68,47,-809,NA,NA
21085,660,NA,1,NA,30,NA,0,NA,NA
21226,960,NA,2,NA,28,NA,-960,NA,NA
21254,12586.85,5957.91,48,29,108,260,-1925,-147,NA
21302,3944.44,5165.96,6,4,235,313,-1142,NA,NA
21370,5011.5,13838.12,4,14,3,14,NA,-213,NA
21375,28305.25,17650.9,8,2,43,0,-25746,NA,"B"
21391,NA,0,NA,4,NA,65,NA,-891,NA
21506,NA,20476,NA,2,NA,51,NA,-19284,NA
21549,33754.99,NA,9,NA,58,NA,-8979,NA,NA
21705,24963.06,17871.7,6,12,0,60,NA,-235,"B"
21711,NA,0,NA,2,NA,76,NA,-810,NA
21716,52523.73,21483.37,24,13,5,15,NA,-243,NA
21766,39535.45,59908.03,81,89,47,96,-68,-618,NA
21783,5606.56,468,20,1,95,0,-224,NA,NA
21938,292191.39,54294.36,13,3,32,33,-10511,NA,NA
21951,57892.71,53007.01,57,49,64,71,0,-489,NA
21996,NA,0,NA,2,NA,30,NA,-150,NA
22008,1668.4,1124.55,7,1,363,-1,-509,NA,NA
22009,6581585.51,4221582.65,282,131,599,130,-96205,-1823,NA
22064,507.53,-507.53,1,1,0,30,NA,-508,NA
22103,1736570.42,622155.61,152,64,442,157,-143603,NA,NA
22113,175528.58,80735.71,25,16,86,7,NA,-95,NA
22157,24877.58,3954.31,19,4,60,4,-767,NA,NA
22179,104501.65,76165.74,63,31,342,139,-2338,-442,"B"
22327,6056.33,6862.68,14,15,26,175,-150,NA,NA
22343,63070.43,64998.75,12,6,6,11,-9255,-8128,NA
22364,27849.83,24725.15,160,105,112,143,-1737,-298,"A"
22397,10198.8,3642.65,11,4,21,0,-472,NA,NA
22420,35389.61,14014.84,11,10,3,1,-389,NA,"B"
22421,NA,1244.09,NA,5,NA,18,NA,-459,NA
22427,131316.55,157315,46,50,73,232,NA,-240,NA
22485,404486.24,213085.13,24,13,109,19,-11846,NA,NA
22539,9086.82,NA,2,NA,-25,NA,-369,NA,NA
22560,NA,5.6843418860808e-14,NA,3,NA,97,NA,-959,NA
22595,11744.67,17636.12,2,4,3,46,NA,-7133,NA
22702,76099.7,62303.07,14,13,20,17,-65,-168,NA
22704,16610,3195,6,5,61,23,NA,0,NA
22743,3698.8,NA,2,NA,22,NA,-2420,NA,NA
22749,34080.93,5427.39,10,5,7,25,NA,-673,NA
22770,NA,0,NA,2,NA,29,NA,-5975,NA
22842,92631.98,36491.5,33,25,75,1,-3330,-2220,NA
22971,3200.55,NA,4,NA,0,NA,-537,NA,NA
23012,12986.44,NA,7,NA,136,NA,-775,NA,NA
23017,3724.49,464.9,19,3,39,1,-180,NA,NA
23035,3540.37,2039.91,21,15,156,60,NA,-723,NA
23052,11850.1,142929.69,1,9,0,0,NA,-6545,NA
23063,5087870.66,4747468.64,203,156,393,85,-1946,-8902,NA
23074,0,NA,2,NA,52,NA,-91,NA,NA
23090,33155.14,30666,40,31,705,68,0,NA,NA
23185,17766.5,2398,4,3,4,7,NA,-250,NA
23252,-2020.05,NA,2,NA,16,NA,-2895,NA,NA
23326,28767.02,12156.52,21,12,112,11,0,-244,NA
23372,3077.06,376.9,10,3,32,23,-75,NA,NA
23394,2597.1,-92.78,2,2,326,630,NA,-234,NA
23401,64750,3119.37,2,1,40,0,-64750,NA,NA
23405,47281.27,87876.46,21,18,107,46,-7036,-15195,NA
23421,145505.56,63180.54,11,3,48,-1,-35455,NA,NA
23434,9866.78,29935.7,22,34,34,21,NA,-965,NA
23441,47828.35,16528.66,7,2,69,0,-2724,NA,NA
23452,34120.55,23438.99,28,15,131,41,-4319,-375,NA
23479,0,NA,2,NA,38,NA,-717,NA,"A"
23520,66134.33,21536.5,24,9,46,25,-20,NA,NA
23536,21109.27,6730.57,9,6,31,0,-8496,NA,NA
23598,1941596.98,1044595.9,150,73,651,26,-11938,NA,NA
23604,45844.64,37689.67,68,49,28,110,-107,NA,NA
23656,11961.45,559,16,1,128,0,-285,NA,NA
23668,48136.38,13443.1,26,24,52,49,NA,-1664,NA
23702,1297333.62,236603.15,23,5,277,44,-6,NA,NA
23715,4279.7,3835.81,5,5,67,29,NA,-1409,NA
23756,5568821.89,4858825.12,238,133,512,773,-67330,-31839,NA
23764,5570.3,2046,6,2,14,0,-1404,NA,NA
23782,693.95,4889.8,2,6,0,44,NA,-4511,NA
23784,49285.47,22153.95,115,57,272,18,-159,-1111,NA
23823,65868.46,NA,6,NA,43,NA,-52,NA,NA
23869,9150,8933.37,3,3,1,39,NA,-1522,NA
23884,185607.7,70819.52,59,29,61,38,-1416,NA,NA
23919,120140,82560,11,7,-29,-32,-17200,NA,NA
23920,6857168.59,4289401.02,237,139,310,288,-20990,-23933,NA
24000,1068.97,-982.05,3,1,0,78,NA,-982,NA
24010,0,NA,2,NA,-1,NA,-742,NA,NA
24027,36813.9,102240.2,2,4,54,7,NA,-43372,NA
24059,21344.81,27615.25,3,1,24,-1,-1767,NA,NA
24065,457702.94,246617.38,137,45,272,159,-18,-1568,NA
24081,20378.91,NA,6,NA,43,NA,-20469,NA,NA
24152,112203.29,87606.42,98,72,78,36,-20466,NA,"A"
24156,3955,24398,9,20,68,32,-650,-20,NA
24213,13729.1,30613.74,9,7,44,42,NA,-96,"A"
24217,673919.48,228649.6,51,39,149,19,-81760,NA,NA
24223,25883.51,3281.4,8,2,87,102,-4464,NA,NA
24228,3380,NA,3,NA,5,NA,-430,NA,"N/A"
24253,133204.59,112413.75,41,28,56,1,-16715,NA,NA
24352,12604.25,3174.07,17,5,41,0,-873,NA,NA
24373,161634.79,19783.61,138,40,184,291,-4458,NA,"N/A"
24409,6205.65,7185,23,18,-193,50,-910,NA,NA
24437,0,0,1,3,10,-34,-4837,-16904,NA
24438,50708,132832,11,34,108,30,NA,-22680,NA
24442,0,NA,2,NA,28,NA,-239,NA,NA
24493,180995.93,25847.01,8,22,5,27,-76309,NA,NA
24502,130993.97,NA,4,NA,73,NA,-12018,NA,"N/A"
24549,2972.75,6220.6,3,7,69,62,NA,-135,NA
24558,120561.23,55267.29,17,6,339,295,-728,NA,NA
24589,40305,35325.17,12,10,139,5,-615,-11812,NA
24599,224908.83,186115.24,24,6,329,16,NA,-21518,NA
24621,1768.9,1637,7,4,70,1,-80,NA,NA
24635,2655656.9,1685027.18,81,72,302,194,-40269,NA,NA
24641,0,NA,2,NA,27,NA,-10671,NA,NA
25670,12632.67,24458.14,18,17,102,47,-13,NA,NA
25683,NA,0,NA,1,NA,0,NA,-42500,NA
25684,70817.73,65965.15,8,8,70,58,-6633,NA,NA
25726,141747.68,202646.86,4,4,1472,48,NA,-102512,NA
25748,47106.1,5376.25,19,3,165,153,-2429,NA,NA
25756,252210.62,167100.67,37,35,103,9,-1304,NA,"B"
25760,935.88,525.3,3,1,108,-1,-365,NA,NA
25764,43065.02,7169.41,25,5,93,79,-28704,-5096,NA
25781,NA,-1811.36,NA,1,NA,23172,NA,-1811,NA
25790,3230.73,2816,9,7,77,4,-2091,NA,NA
25799,0,NA,1,NA,4,NA,-1537,NA,NA
25840,52718.84,6220.02,12,4,69,-2,-684,NA,NA
25849,10082.49,NA,4,NA,66,NA,-6815,NA,"B"
25897,0,NA,1,NA,0,NA,-100,NA,NA
25918,1365,1950,5,1,18,-2,-455,NA,NA
25925,7896.63,NA,8,NA,81,NA,-1002,NA,NA
25929,0,NA,2,NA,58,NA,-1554,NA,"N/A"
25936,7036.09,12146.93,51,62,12,89,-320,-230,NA
25937,5062.75,NA,2,NA,4,NA,-2820,NA,NA
25949,17508.77,49350.73,9,8,52,88,NA,-15294,NA
25980,3150,3121.98,8,10,-19,3,-210,-938,NA
25988,24169.6,1027,7,3,-18,-97,-226,NA,NA
25997,23337.65,44193.15,13,11,128,34,NA,-3600,NA
26006,0,NA,2,NA,112,NA,-627,NA,NA
26083,19620.58,NA,2,NA,-258,NA,-14010,NA,NA
26093,43214.81,42298.3,1,3,-4,-3,NA,-28393,NA
26099,800,10517.72,2,9,-254,4,-9600,-8000,NA
26101,284.1,64211.05,1,11,-1,6,NA,-17780,NA
26137,10465.06,7575.75,1,6,28,59,NA,-1000,NA
26162,6525,19285.41,1,6,0,1,NA,-6525,NA
26209,NA,103595.08,NA,9,NA,57,NA,-20256,NA
26222,NA,665,NA,2,NA,-15,NA,-665,NA
26226,NA,56542.98,NA,4,NA,0,NA,-6705,NA
26259,NA,109278.65,NA,5,NA,57,NA,-514,NA
26283,NA,789280.62,NA,8,NA,6,NA,-114650,NA
26286,NA,0,NA,1,NA,7,NA,-2500,NA
26310,NA,578.55,NA,4,NA,44,NA,-459,NA
26319,NA,0,NA,5,NA,55,NA,-2014,NA
26338,NA,91907,NA,14,NA,2,NA,-11932,NA
